,date,sex,age_group,order_amt,order_cnt
431,202208,남,30대,1926959856,75176
432,202208,남,40대,2122070865,77836
433,202208,남,50대,1053631359,39106
434,202208,남,60대이상,258014720,9264
435,202208,여,20대,1240192181,50983
436,202208,여,30대,3770289704,143868
437,202208,여,40대,5815844361,214506
438,202208,여,50대,2586945153,97459
439,202208,여,60대이상,568083141,20558
440,202209,남,20대,622923129,25887
441,202209,남,30대,1683769067,65397
442,202209,남,40대,1852851787,66736
443,202209,남,50대,888181340,32796
444,202209,남,60대이상,220047857,7902
445,202209,여,20대,1081963318,44155
446,202209,여,30대,3224314075,122363
447,202209,여,40대,4888339220,179393
448,202209,여,50대,2125407893,80233
449,202209,여,60대이상,474154329,17042
450,202210,남,20대,681012828,28694
451,202210,남,30대,1912814028,73721
452,202210,남,40대,2050233658,74456
453,202210,남,50대,1011650244,37022
454,202210,남,60대이상,250919290,8953
455,202210,여,20대,1216611796,49722
456,202210,여,30대,3595858456,135238
457,202210,여,40대,5446629183,198080
458,202210,여,50대,2402776011,90320
459,202210,여,60대이상,536023309,19186
460,202211,남,20대,647691016,26848
461,202211,남,30대,1799091804,69171
462,202211,남,40대,1969357737,71239
463,202211,남,50대,1008769230,36499
464,202211,남,60대이상,244253295,8728
465,202211,여,20대,1112165505,45501
466,202211,여,30대,3366788834,127227
467,202211,여,40대,5214407923,190969
468,202211,여,50대,2373606090,89866
469,202211,여,60대이상,532996826,19184
470,202212,남,20대,705172575,29193
471,202212,남,30대,1987198106,75706
472,202212,남,40대,2237088097,79132
473,202212,남,50대,1175590543,40918
474,202212,남,60대이상,275761381,9658
475,202212,여,20대,1236962400,49210
476,202212,여,30대,3818296810,140616
477,202212,여,40대,5962448786,213270
478,202212,여,50대,2721434095,100281
479,202212,여,60대이상,616935270,21786
