,gu,address,food,name,rating,lat,lng
6514,마포구,서울 마포구 토정로37길 3,한식,작은 섬소년,4.1,37.5398101222137,126.944373902667
6515,중구,서울 중구 수표로 42-8,한식,골목식당,4.06,37.5650335611548,126.990277276063
6516,종로구,서울 종로구 대학로1길 3,회,남해굴국밥,4.15,37.5713341619323,127.001681660485
6517,종로구,서울 종로구 창경궁로 259,회,혜화수산 혜화본점,4.6,37.5845646430677,127.000047551318
6518,종로구,서울 종로구 창신3길 1 1층,회,해천횟집,4.37,37.5733181194481,127.010822637119
6519,중구,서울 중구 세종대로14길 22,한식,대복,4.49,37.5627998606316,126.977930950651
6520,중구,서울 중구 마른내로2길 25-1,회,김명자굴국밥,4.33,37.5632959230005,126.991769056852
6521,종로구,서울 종로구 종로32길 15,회,복민 횟집,4.31,37.5702211687243,127.001159237261
6522,동대문구,서울 동대문구 무학로34가길 21,회,부산횟집,4.02,37.5774566229307,127.033859319535
6523,강북구,서울 강북구 솔매로 79,회,팔딱팔딱회수산시장,4.46,37.6250699334293,127.021022172022
6524,중구,서울 중구 명동길 30-1 1층,한식,제주미항,3.99,37.5634701945535,126.984038355281
6525,동대문구,서울 동대문구 무학로 130,회,이판사판회포차,4.38,37.5758696424694,127.030784426228
6526,중구,서울 중구 퇴계로4길 24,회,여수횟집,4.21,37.5574895124616,126.978624590851
6527,종로구,서울 종로구 자하문로1길 3,야식,안주마을,4.54,37.5764581852171,126.9721721367
6528,중구,서울 중구 을지로9길 8,회,예전명가,4.4,37.5666114054153,126.988495003748
6529,성동구,서울 성동구 무학로2길 23-1,회,아라참치,4.74,37.5637695154663,127.032571179987
6530,성북구,서울 성북구 동소문로20길 29-7,회,만선참치 본점,4.15,37.5914761637582,127.017215168913
6531,종로구,서울 종로구 종로16길 35,회,도연회포차,4.3,37.5685009249375,126.988926431632
6532,중구,서울 중구 동호로24길 27-4,회,크랩회피쉬 장충동본점,4.42,37.5606426639205,127.005116583266
6533,마포구,서울 마포구 도화길 45-1,한식,도화동꽃새우,4.15,37.5418678217776,126.950649413327
6534,강북구,서울 강북구 한천로139길 42 1층 101호 만원수산,회,만원수산,4.21,37.6388575866282,127.024948947089
6535,종로구,서울 종로구 삼일대로17길 46,회,어사출또 종각점,4.33,37.569327957614,126.984936547694
6536,마포구,서울 마포구 만리재옛길 40,회,안면도회집,4.32,37.5474123477182,126.956498229225
6537,종로구,서울 종로구 창경궁로34길 10 1층 2층,돈까스/일식,현초밥,4.33,37.5846195101177,127.000901777449
6538,성북구,서울 성북구 동소문로20길 32 1층,돈까스/일식,김태완의 초밥좋은날,4.32,37.5911399958461,127.01664091542
